Department or Agency Name,Component Name,Policy Integration Factor Outcome,Acquisition Factor Outcome,Testing and Remediation Factor Outcome,q1componentsize,q2aacpro,q2bproc,q2cconform,q2dremed,q2etrain,q3programs,q4reside,q4aifno,q5fte,q6fte,q7track,q8estimated,q9hrsper,q9apt,q10resource,q11ict,q12policy,q13aICT,q13bICT,q13cICT,q13dICT,q13eICT,q13fICT,q13gICT,q13hICT,q13iICT,q14mandatory,q15mandatory,q16rolespecific,q16aother,q17afund,q17bfund,q17cfund,q18aundue,q18bundue,q18cundue,q19abest,q19best,q19cbest,q20,q21,q22,q23,q24,q25,q26grc,q27consult,q28ahardware,q28bhardware,q28chardware,q28dhardware,q28ehardware,q28fhardware,q29asoftware,q29bsoftware,q29csoftware,q29dsoftware,q29esoftware,q29fsoftware,q30aelec,q30belec,q30celec,q30delec,q30eelec,q30felec,q30gelec,q31aweb,q31bweb,q31cweb,q31dweb,q31eweb,q31fweb,q31gweb,q32aintern,q32bintern,q32cintern,q32dintern,q32eintern,q32fintern,q32gintern,q33,q34,q35,q36
Department of War,Defense Contract Audit Agency,Low,Not Applicable,Moderate,"Medium Agencies (1,000-9,999 employees)",No,Yes,Yes,Yes,Yes,Yes,Yes,,0.5,1,Yes,256071,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Provide training,Provide alternate formats",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 conformance testing,Includes documented processes and procedures for Section 508 issues and complaints",Somewhat integrated,Somewhat integrated,Moderately integrated,Moderately integrated,Not integrated,Somewhat integrated,Fully integrated,Somewhat integrated,Somewhat integrated,Yes,One-time requirement such as part of employee onboarding,"Developers,Document authors,Testers,Web Content Managers",,No,0,No,Yes,0,No,Yes,2,No,Often (51-90%),Often (51-90%),Sometimes (11-50%),Sometimes (11-50%),Almost always (+90%),Almost always (+90%),No,Yes,No,No,No,Sometimes (11-50%),No,Never (0%),Yes,Yes,Yes,Often (51-90%),No,Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Never (0%),Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Never (0%),Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Never (0%),20,integration of 508 testing and remediation into the Software Development Life Cycle and enforcing adherence to the SDLC.,funds to appropriate automated testing tools,
Department of War,Defense Contract Management Agency,Very High,Very High,Low,"Large Agencies (10,000-74,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,2,8,Yes,819083,Full time - COMPONENT Section 508 program manager works 40 hours per week fully dedicated to supporting the agency-wide Section 508 program,,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 conformance testing",Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Moderately integrated,Somewhat integrated,Yes,Annually,Testers,,Yes,0,Yes,Yes,0,Yes,Yes,0,Yes,Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Often (51-90%),Often (51-90%),Yes,Yes,No,No,No,Never (0%),No,Never (0%),Yes,Yes,No,Never (0%),No,Never (0%),Yes,Yes,No,,No,Never (0%),Sometimes (11-50%),Yes,Yes,No,Never (0%),No,Never (0%),Sometimes (11-50%),Yes,Yes,No,Never (0%),No,Sometimes (11-50%),Never (0%),8,"Agency implemented annual mandatory 508 training for all employees.  Agency doubled our 508 FTE count from 4 to 8 in order to cover all regions.  Fielding plan and process was created and implemented and accepted by DCMA leadership.  Additional fielding was performed due to the additional FTEs.  A new tool was implemented across agency: Colour Contrast Analyzer, a global update pushed the application to everyone's desktop.   Implemented monthly developer 508 training sessions.","ACCEPTANCE!!! and PUSHBACK!!  Getting the workforce to accept 508 compliance as part of their daily activities.  Everyone is busy with their own workload, then here comes the 508 to add additional work, but since leadership has supported the 508 and has addressed the workforce, things are moving forward.  Having leadership address the issue from the top down gets accepted in the culture faster than if it comes from the bottom up.","Question 9a popped up even though I choose full time, so I put 0 value to continue since it was a required field.  Other than that, I love the work we do, and the workforce is becoming more and more proactive, I see it every day and I'm proud of DCMAs mature 508 program. "
Department of War,Defense Counterintelligence and Security Agency,Very High,Moderate,High,"Large Agencies (10,000-74,999 employees)",Yes,Yes,Yes,Yes,No,Yes,Yes,,3,5,Yes,200000,Full time - COMPONENT Section 508 program manager works 40 hours per week fully dedicated to supporting the agency-wide Section 508 program,,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 issues and complaints",Fully integrated,N/A - Component does not perform or have policies related to this function,Mostly integrated,Mostly integrated,N/A - Component does not perform or have policies related to this function,Fully integrated,Fully integrated,Somewhat integrated,N/A - Component does not perform or have policies related to this function,No,,"Developers,Document authors,Testers,Web Content Managers",,No,0,No,No,0,No,No,0,No,Sometimes (11-50%),Sometimes (11-50%),Never (0%),Sometimes (11-50%),Often (51-90%),Almost always (+90%),Yes,Yes,No,No,No,Never (0%),No,Never (0%),Yes,Yes,Yes,Often (51-90%),Yes,Sometimes (11-50%),Yes,Yes,Yes,Sometimes (11-50%),Yes,Sometimes (11-50%),Sometimes (11-50%),Yes,Yes,Yes,Often (51-90%),Yes,Often (51-90%),Often (51-90%),Yes,Yes,Yes,Often (51-90%),Yes,Often (51-90%),Sometimes (11-50%),40,The component has implemented the generation of a risk value for each component ICT assessment. ,Obtaining a DoD government wide 508 accessibility Policy for dissemination throughout the component.,Overall the component realizes the importance of 508 accessibility compliancy.
Department of War,Defense Finance and Accounting Service,Very Low,High,Very Low,"Large Agencies (10,000-74,999 employees)",Yes,Yes,Yes,Yes,No,Yes,No,I&T Security Services Branch,1.8,,No,,Full time - COMPONENT Section 508 program manager works 40 hours per week fully dedicated to supporting the agency-wide Section 508 program,,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Provide alternate formats",Yes,"Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 conformance testing,Includes documented processes and procedures for Section 508 issues and complaints",Mostly integrated,Somewhat integrated,Not integrated,Somewhat integrated,Not integrated,Not integrated,Somewhat integrated,Somewhat integrated,Not integrated,No,,Other ,Trusted Testers - We require is a system is being tested for 508 compliance that the tester be Trusted Tester Certified which requires training.,No,0,No,No,0,No,No,0,No,Often (51-90%),Often (51-90%),Almost always (+90%),Rarely (1-10%),Sometimes (11-50%),Sometimes (11-50%),No,Yes,No,No,No,,No,Never (0%),No,No,No,,Yes,Rarely (1-10%),No,No,No,,No,Rarely (1-10%),Rarely (1-10%),No,No,No,,Yes,Rarely (1-10%),Rarely (1-10%),No,No,No,,Yes,Rarely (1-10%),Rarely (1-10%),26,FY 2024 DFAS implemented an updated to the procurement monitoring process for ICT and implemented a repository for inventory of an existing ICT,"Not having a dedicated budget to implement an integration, education and support plan. Having a dedicated sufficient budget would be helpful.",
Department of War,Defense Health Agency,Low,Low,Moderate,"Large Agencies (10,000-74,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,1,3,Yes,919340,Full time - COMPONENT Section 508 program manager works 40 hours per week fully dedicated to supporting the agency-wide Section 508 program,,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Provide training",No,,Somewhat integrated,Somewhat integrated,Not integrated,Mostly integrated,Fully integrated,Somewhat integrated,Somewhat integrated,Somewhat integrated,Somewhat integrated,No,,None of Above,,No,0,No,No,0,No,Yes,1,No,Rarely (1-10%),Rarely (1-10%),Never (0%),Rarely (1-10%),Sometimes (11-50%),Never (0%),Yes,Yes,No,No,No,,No,Never (0%),Yes,Yes,No,Never (0%),Yes,Often (51-90%),Yes,Yes,No,Never (0%),Yes,Almost always (+90%),Almost always (+90%),Yes,Yes,No,,Yes,Almost always (+90%),Often (51-90%),No,No,No,,No,Rarely (1-10%),Never (0%),30,">Prepared Section 508 Policy--on hold due to component publication freeze on all new policies.; 
>Deployed S508 compliant mobile app (Virtual Hope Box); 
>Remediated all Tricare documents (including most downloaded DHA document, ""Tricare cost and Fees fact sheet"");  
>Implemented automated  S508 conformance scanning tool (Siteimprove); 
>Approved S508 manual testing tool (ANDI); 
>Established quarterly cohort to prepare stakeholders for completing DHS Trusted Tester  training materials and certification;",">While still experiencing a lack of general awareness, the S508 team is addressing this challenge through raising awareness via a S508 quarterly newsletter, Sharepoint site, and presenting at the annual DHA Health Information Technology Symposium (DHITS); 
>While still experiencing a lack of or inadequate knowledge by acquisition officials, however once the 508 policy is signed, this will enforce acquisition officials to be educated in incorporating s508 language; 
>While still experiencing a lack of or inadequate knowledge by developers, the Trusted Tester cohort is training developers to have a working knowledge of testing methods;
>Lack of or inadequate knowledge by vendors, and poor quality of vendor’s Accessibility Conformance Reports (ACR)s.
>Platform choices are not evaluated for Section 508 conformance. 
>Vendor misrepresenting Section 508 compliance/digital accessibility of product.",NA
Department of War,Defense Human Resources Activity,High,High,Very High,"Medium Agencies (1,000-9,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,1,7,Yes,1300000,Full time - COMPONENT Section 508 program manager works 40 hours per week fully dedicated to supporting the agency-wide Section 508 program,,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",No,,Mostly integrated,Mostly integrated,Fully integrated,Mostly integrated,Somewhat integrated,Mostly integrated,Mostly integrated,Not integrated,N/A - Component does not perform or have policies related to this function,Yes,,"Testers,Other ",508 Program Staff,Yes,0,Yes,Yes,0,Yes,Yes,0,Yes,Often (51-90%),Often (51-90%),Often (51-90%),Often (51-90%),Almost always (+90%),Often (51-90%),No,Yes,No,Yes,Yes,Sometimes (11-50%),No,Sometimes (11-50%),Yes,Yes,Yes,Often (51-90%),Yes,Often (51-90%),Yes,Yes,Yes,Often (51-90%),Yes,Often (51-90%),Often (51-90%),Yes,Yes,Yes,Often (51-90%),Yes,Often (51-90%),Often (51-90%),Yes,Yes,Yes,Often (51-90%),Yes,Sometimes (11-50%),Sometimes (11-50%),48,"Established 508 Program, Created an Informational SharePoint site with 508 conformance  information, training, trackers, tools and links to key resources. Created internal training, Created and piloting exceptions process, created complaint process SOP, performed conformance testing for multiple websites and content.  Identified key metrics and created proof of concept to track and report progress.","Identification of the best tools to utilize for testing, obtaining approvals to run on the networks and obtaining licensing can be time consuming. Identification, licensing, establishment of core tools for use across the government could reduce the cost of analysis and licensing along with reducing approval and implementation time.  It would be helpful if the government identified and recommended  core key toolsets (automated, manual, desktop, web, docs, screen readers, etc.), obtains broad authorization for use on networks, negotiates and provides licensing government wide.",DoD CIO's policies and 508 office continues to be an invaluable resource.
Department of War,Defense Information Systems Agency,Moderate,High,Moderate,"Medium Agencies (1,000-9,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,CIO,2,2,No,1,Full time - COMPONENT Section 508 program manager works 40 hours per week fully dedicated to supporting the agency-wide Section 508 program,40,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",Yes,"Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 conformance testing,Includes documented processes and procedures for Section 508 issues and complaints",Mostly integrated,Somewhat integrated,Somewhat integrated,Mostly integrated,Moderately integrated,Moderately integrated,Fully integrated,Mostly integrated,Not integrated,Yes,Annually,"Document authors,Testers,Web Content Managers",,No,0,No,No,0,No,No,0,No,Often (51-90%),Almost always (+90%),Sometimes (11-50%),Rarely (1-10%),Often (51-90%),Sometimes (11-50%),Yes,Yes,No,No,No,Often (51-90%),No,Sometimes (11-50%),No,No,Yes,Often (51-90%),No,Sometimes (11-50%),Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Often (51-90%),Often (51-90%),8,"We instituted:
- a testing methodology and tracking process for all high risk systems and DBS'
- created a process to evaluate NSS Exceptions
- created a GRC system to track systems and levels of conformance
- created a Sharepoint working group training series to train our Sharepoint Developers ","Lack of personnel and budget to fully implement a robust program, workaround has been to engage system owners on taking responsibility in the acquisition and management of their systems to ensure Section 508 practices are integrated early and continuously",No
Department of War,Defense Intelligence Agency,Moderate,High,Low,"Medium Agencies (1,000-9,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,8,,No,,Full time - COMPONENT Section 508 program manager works 40 hours per week fully dedicated to supporting the agency-wide Section 508 program,40,"Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",No,,Moderately integrated,Moderately integrated,Moderately integrated,Moderately integrated,Moderately integrated,Moderately integrated,Moderately integrated,Moderately integrated,Moderately integrated,No,,None of Above,,No,0,No,No,0,No,No,0,No,Often (51-90%),Often (51-90%),Often (51-90%),Often (51-90%),Sometimes (11-50%),Often (51-90%),No,No,No,No,Yes,Sometimes (11-50%),Yes,Sometimes (11-50%),No,No,Yes,Sometimes (11-50%),Yes,Sometimes (11-50%),Yes,No,No,Never (0%),No,Sometimes (11-50%),Never (0%),No,No,No,Never (0%),No,Sometimes (11-50%),Never (0%),No,No,Yes,Sometimes (11-50%),Yes,Never (0%),Sometimes (11-50%),80,More DoD Authority and Champion for the program's mission mandate.,,DoD programmed annual funding is critical to the maturity and success of the 508 program.
Department of War,Defense Legal Services Agency,Very High,Not Applicable,Very Low,Small Agencies (100-999 employees),No,No,Yes,No,Yes,No,,,,,,,N/A- there is no COMPONENT Section 508 program manager,,"Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508",No,,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,No,,Developers,,,0,,,0,,,0,,,,,,,,Yes,No,No,No,No,,No,Never (0%),No,No,No,,No,Never (0%),No,No,No,,No,Never (0%),Sometimes (11-50%),No,No,No,,No,Never (0%),Sometimes (11-50%),No,No,No,,No,Sometimes (11-50%),Never (0%),10,"DLSA is not staffed to support a Section 508 Compliance Program.  The vast majority of IT Resources were shifted to DISA J6/JSP during the 4th Estate IT Consolidation effort.  The Sole DLSA Web Developer who is responsible for Public Facing and Internal Websites has completed Section 508 Training, but does not have access to all the resources required to perform compliance testing.","The vast majority of IT Resources were shifted to DISA J6/JSP during the 4th Estate IT Consolidation effort, DLSA does not have a CIO Duty Position. DLSA does it's best to leverage available Enterprise resources when managing programs ","Individuals with a disabilities are directed to the Pentagon CAP Office for consultation and assistance with necessary accommodations and job aides.  DLSA only has a very limited Web (Public & Internal) presence and does not have staff dedicated to support Section 508.  Recently OSD/CIO has launched a Section 508 Center Of Excellence SharePoint Site, DLSA intends to review and try to improve in this area."
Department of War,Defense Logistics Agency,Low,Low,Very Low,"Large Agencies (10,000-74,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,5,10.5,Yes,4801854,Full time - COMPONENT Section 508 program manager works 40 hours per week fully dedicated to supporting the agency-wide Section 508 program,1,"Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Provide training",No,,Moderately integrated,Somewhat integrated,Somewhat integrated,Somewhat integrated,Mostly integrated,Somewhat integrated,Moderately integrated,Moderately integrated,Not integrated,No,,None of Above,,No,0,No,No,0,No,No,0,No,Rarely (1-10%),Sometimes (11-50%),Rarely (1-10%),Sometimes (11-50%),Sometimes (11-50%),Rarely (1-10%),No,No,No,No,No,Never (0%),No,Sometimes (11-50%),No,No,No,Never (0%),No,Sometimes (11-50%),No,No,No,,No,Sometimes (11-50%),Sometimes (11-50%),No,No,No,Never (0%),No,Sometimes (11-50%),Sometimes (11-50%),No,No,No,Rarely (1-10%),No,Sometimes (11-50%),Sometimes (11-50%),20,"* Just completed Agency 508 Policy, now going through the approval process.
* Integrated axe Linter Server into DLA's Development pipeline to enable early, automated accessibility checks during development.
* Expanded use of axe Monitor for 424 DLA applications to support enterprise-wide WCAG 2.0 AA compliance testing, identifying 50 to 55% non-conformance rates.  Remaining rates are to be done with manual testing.
* Developed a repeatable Section 508 compliance process that will evaluate, remediate, validate, and approve DLA's web and applications compliance.  Subject to PEO/CIO approval and then implementation to DLA's workforce.
* All accomplishments:
  * Improves consistency and accountability
  * Reduces risk and non-compliance
  * Enhances efficiency
  * Supports mission readiness
  * Enables informed decision-making","Section 508 compliance is an important area that often gets overlooked and can lead to significant inefficiencies, especially in IT procurement, digital communications, and service delivery.

One significant area of inefficiency in the Defense Logistic Agency is the inconsistent implementation and enforcement of Section 508 compliance for digital services and IT systems.  Despite clear federal mandates, many software systems, internal tools, websites, and electronic documents are deployed without undergoing proper 508 compliance testing.  This results in retroactive remediation costs, legal risks, and a lack of accessibility for employees and stakeholders with disabilities.

For example, acquisition processes often fail to include Section 508 requirements from the start, and critical IT systems are purchased or developed without ensuring they meet accessibility standards.  Similarly, digital documents, SharePoint environments, and training materials are routinely released without the necessary structure or metadata to work with assistive technologies.  These gaps could result in duplicated efforts, contract delays, and reduced workforce productivity.

Suggested Fix:  Establish and mandate Section 508 Senior Leadership positions within the component with direct support to Component Director or CIO.  This designated official would be responsible for setting policy, overseeing compliance, managing 508 Program Manager, and ensuring accountability across the agency.  By placing 508 oversight at the strategic leadership level, the DLA can move from a reactive to a proactive model--integrating accessibility at the start of every IT, procurement, and communication initiative.  This change would not only ensure compliance but also foster inclusivity, reduce long-term costs, and strengthen mission effectiveness across the enterprise.",N/A
Department of War,Defense Media Activity,Very Low,Very High,Not Applicable,Small Agencies (100-999 employees),Yes,No,No,No,No,Yes,Yes,,0.5,1,No,,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,4,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 conformance testing,Includes documented processes and procedures for Section 508 issues and complaints",Mostly integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,No,,Acquisition professionals,,No,0,No,No,0,No,No,0,No,Sometimes (11-50%),Almost always (+90%),Almost always (+90%),Sometimes (11-50%),Almost always (+90%),Almost always (+90%),No,No,No,No,No,Never (0%),No,Rarely (1-10%),No,,,,,,,,,,,,,Yes,Yes,No,,No,,Almost always (+90%),Yes,Yes,No,,No,,Almost always (+90%),40,Contract review of 508 compliance,"Staffing Resources
Lack of general awareness
Inadequate training",Current 508 Accessibility FTE open billet is with the DMA Human Capital Office for future advertisement.
Department of War,Defense POW/MIA Accounting Agency,Very High,Not Applicable,Not Applicable,Small Agencies (100-999 employees),No,No,No,No,No,No,,,,,,,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,,None of the above,No,,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,No,,None of Above,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,The agency has assigned additional training to primary reviewers of external websites and included requirements for public facing websites. Additionally briefed agency leadership on the 508 program and legal requirements. ,The component does not have funding or personnel that are primarily assigned 508 compliance. ,None at this time. 
Department of War,Defense Security Cooperation Agency,Very High,Very Low,Not Applicable,"Medium Agencies (1,000-9,999 employees)",Yes,No,No,No,No,Yes,Yes,,0.2,,No,,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,4,None of the above,No,,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,No,,None of Above,,No,0,No,No,0,No,No,0,No,Rarely (1-10%),Rarely (1-10%),Never (0%),Never (0%),Never (0%),Never (0%),No,No,No,No,No,,No,Never (0%),No,No,No,,No,Never (0%),No,No,No,,No,Never (0%),Never (0%),No,No,No,,No,Never (0%),Never (0%),No,No,No,,No,Never (0%),Never (0%),5,,,
Department of War,Defense Technical Information Center,Moderate,Not Applicable,Low,Small Agencies (100-999 employees),No,No,Yes,Yes,Yes,Yes,Yes,,1,,Yes,69500,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,,"Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Provide training,Provide alternate formats",Yes,None of the above,N/A - Component does not perform or have policies related to this function,Somewhat integrated,Somewhat integrated,Somewhat integrated,Mostly integrated,Somewhat integrated,Mostly integrated,Mostly integrated,N/A - Component does not perform or have policies related to this function,Yes,Annually,None of Above,,No,0,No,No,0,No,No,0,No,N/A - Component does not procure ICT,N/A - Component does not release solicitations,N/A-Component does not award contracts,N/A-Component does not award contracts,N/A - Component does not procure ICT,N/A-Component does not award contracts,Yes,Yes,No,No,No,Never (0%),No,Never (0%),Yes,Yes,No,,No,Never (0%),Yes,Yes,No,,No,Never (0%),Often (51-90%),Yes,Yes,No,,No,Never (0%),Often (51-90%),Yes,Yes,No,,No,Often (51-90%),Never (0%),40,"Designated Section 508 PM
Implemented Trusted Tester V.5.1.3 standard process for conformance testing
Increased number of staff who completed optional 508 training
Developed DTIC Section 508 policy
Updated inventory

","Accessibility requires highly specialized skills, not usually included in software development training curriculum.
Resource allocation due to staff turnover/reassignments
","Positive results with increased Section 508 PMs collaboration, resource sharing, and support across the DoD and federal agencies.
Regarding Acquisition and Procurement, procurement activities are not conducted independently at the component agency level.
"
Department of War,Defense Technology Security Administration,Low,High,Very Low,Small Agencies (100-999 employees),Yes,Yes,Yes,Yes,No,Yes,Yes,,0.2,0.5,No,,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,1,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software",No,,Moderately integrated,Not integrated,Not integrated,Mostly integrated,Not integrated,Not integrated,Mostly integrated,Not integrated,N/A - Component does not perform or have policies related to this function,No,Other frequency not listed,None of Above,,No,0,No,No,0,No,No,0,No,Almost always (+90%),Often (51-90%),Often (51-90%),Sometimes (11-50%),Rarely (1-10%),Often (51-90%),No,No,No,No,No,Never (0%),No,Never (0%),No,No,No,Never (0%),No,Sometimes (11-50%),No,No,No,,No,Never (0%),Rarely (1-10%),No,No,No,Sometimes (11-50%),No,Sometimes (11-50%),Almost always (+90%),No,No,No,Sometimes (11-50%),No,Sometimes (11-50%),Sometimes (11-50%),2,,"Testing tool procurement—including identification, approvals, and licensing—is currently time-consuming and costly. Government-wide standardization of key toolsets, network authorization, and bulk licensing would streamline analysis and reduce expenses.",
Department of War,Defense Threat Reduction Agency,High,High,Moderate,"Medium Agencies (1,000-9,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,0.6,2,Yes,298756,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,19.5,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations",Moderately integrated,N/A - Component does not perform or have policies related to this function,Not integrated,Fully integrated,Moderately integrated,Moderately integrated,Somewhat integrated,Mostly integrated,N/A - Component does not perform or have policies related to this function,No,,Acquisition professionals,,Yes,0,No,Yes,0,No,Yes,1,No,Sometimes (11-50%),Often (51-90%),Often (51-90%),Often (51-90%),Sometimes (11-50%),Sometimes (11-50%),No,Yes,Yes,No,No,Never (0%),Yes,Sometimes (11-50%),Yes,No,No,Never (0%),Yes,Sometimes (11-50%),Yes,No,No,,Yes,Often (51-90%),Sometimes (11-50%),Yes,No,No,Never (0%),Yes,Often (51-90%),Sometimes (11-50%),Yes,No,No,Never (0%),Yes,Sometimes (11-50%),Often (51-90%),37.5,"In FY24, DTRA has increased from zero certified testers to 11, with four additional in the program utilizing DHS’s Trusted Tester Program. Additionally, DTRA implemented a hybrid testing approach utilizing free and existing resources in the software development process and on intranet/internet sites by locally hosting and offering manual testing tools (ANDI and ACRT (SCRT)) and Compliance Guardian. DTRA created a tester community of practice which is a forum that consists of system owners, testers, and stakeholders across the Agency. The focus is to collaborate on lessons-learned, best practices, challenges, and to cross-feed ideas. Additionally, DTRA now offers ‘Introduction to Section 508’ training for all DTRA personnel via Defense Acquisition University Learning Management System (DAU LMS). This is in addition to our CIO Acquisition training, which is required for PM certification. The S508 program office launched an awareness campaign across the component utilizing digital signage, stakeholder engagement, and by providing formal and informal training to stakeholders. Developed additional acquisition processes to identify and remediate ICT prior to acquisition. Lastly, the S508 PO published a revised version of DTRA’s accessibility policy, DTRAI 1020.02 implementing OMB Memorandum 24-08 Strengthening Digital Accessibility and the Management of Section 508 of the Rehabilitation Act.","DTRA’s largest challenge to the S508 program involves staff rotations and retirements. The S508 program office experienced turn over between three S508 PMs in the last three years. Despite these struggles, the S508 PO has managed to make strides into ensuring the Agency meets S508 compliance criteria.",
